entryID,name,author,material,condition,price
b163,The Murder of Mr. Wickham,Claudia Gray,Paperback,New,$17.00
b164,Violin Conspiracy,Brendan Slocumb,Paperback,New,$17.00
b165,Shady Hollow,Juneau Black,Paperback,Used,$16.00
b166,Age of Vice,Deepti Kapoor,Hardcover,Used,$30.00
b167,Storm Watch,C J Box,Hardcover,Used,$29.00
b168,Maid,Nita Prose,Hardcover,Used,$28.00
b169,Dark Angel,John Sandford,Hardcover,Used,$29.95
b170,Benevolent Society of Ill Mannered Ladies,Alison Goodman,Paperback,New,$17.00
b171,Most Agreeable Murder,Julia Seales,Hardcover,New,$27.00
b172,Murder of Roger Ackroyd,Agatha Christie,Paperback,New,$11.00
b173,Boys from Biloxi A Legal Thriller,John Grisham,Paperback,New,$18.00
b174,Silverview,John Le Carre,Hardcover,Used,$28.00
b175,All Good People Here,Ashley Flowers,Hardcover,Used,$28.00
b176,Back to the Garden,Laurie R King,Paperback,New,$18.00
b177,Quiet Tenant,Clemence Michallon,Hardcover,New,$28.00
b178,Killing Moon A Harry Hole Novel 13,"Jo Nesbo, Sean Kinsella",Hardcover,New,$29.00
b179,Puzzle Master,Danielle Trussoni,Hardcover,New,$27.00
b180,Angels & Demons,Dan Brown,Not Specified,Used,$7.99
b181,Into the Water,Paula Hawkins,Paperback,Used,$17.00
b182,Slow Fire Burning,Paula Hawkins,Paperback,Used,$17.00
b183,The Witch Elm,Tana French,Paperback,Used,$18.00
b184,The Searcher,Tana French,Hardcover,Used,$27.00
b185,Cruellest Month,Louise Penny,Paperback,Used,$8.95
b186,The Brutal Telling: Chief Inspector Gamache 5,Louise Penny,Paperback,Used,$10.95
b187,Sharp Objects Uk Edition,Gillian Flynn,Paperback,Used,$8.95
b188,"Run, Rose, Run","James Patterson, Dolly Parton",Hardcover,Used,$30.00
b189,Little Blood & Dancing A Novel,Tyler Parker,Hardcover,New,$27.00
b190,Local Woman Missing,Mary Kubica,Paperback,New,$16.99
b191,Committed,Viet Thanh Nguyen,Paperback,Used,$18.00
b192,Missing Presumed,Susie Steiner,Paperback,Used,$17.00
b193,A Trick of the Light: Chief Inspector Gamache 7,Louise Penny,Paperback,Used,$17.99
b194,The Long Way Home: Chief Inspector Gamache 10,Louise Penny,Paperback,Used,$17.99
b195,The Nature of the Beast: Chief Inspector Gamache 11,Louise Penny,Paperback,Used,$17.99
b196,The Beautiful Mystery: Chief Inspector Gamache 8,Louise Penny,Paperback,Used,$17.99
b197,How the Light Gets In: Chief Inspector Gamache 9,Louise Penny,Paperback,Used,$17.99
b198,Still Life: Chief Inspector Gamache 1,Louise Penny,Not Specified,Used,$9.99
b199,If We Were Villains,M L Rio,Paperback,New,$17.99
b200,The Dry,Jane Harper,Paperback,Used,$16.99
